text,sentiment,category,keyword
훔....,중립,기타,에러: APIStatusError
헐떡헐떡 누가 내 다리를 건 것 같은데,중립,기타,에러: APIStatusError
좋아요,중립,기타,에러: APIStatusError
"주식경력은 3년간 하락하면서 개 두들겨 맞고 전재산 깡통거지 되면서 깨달음을 얻어 4년 정도 되었고, 작년에 장투로 몇가지 종목 보유해 합쳐서 25%정도 수익내었으나 전재산 깡통후 남은 잔액으로 시작해 시드가 얼마 안되고, 거기에서 한단계 더 깨달음을 얻어 올해 2026년부터 매일 레버리지나 인버스로 2000만원 정도로 하루에 약 10~30만원정도 수익내고 있습니다. 단타나 스윙은 깨달아야 가능한 영역이니 절대 따라하지 마세요. 당신이 하는 것들은 그냥 홀짝 도박. 그리고 단타 말고 수개월정도 보유할만할 종목 추천해줄수있습니다. 다만 실패해도 자신이 감당해야하며, 내가 나쁜 마음으로 누군가 엿먹이려고 하는 행위(글쓰는것부터 추천까지)라면 결국 그 업보가 나에게 돌아올것이란 마인드가 있으니 알아서 생각. 한번 도전해보고 싶으면 이 돈 없어져도 인생 망하지 않는다는 생각있으면 질문하세요. 추천 종목은 최소 2.5~3.5배 예상하고 기간은 6개월 이내로 예상. 생각보다 빨라 1개월이내에 이뤄질수도 있고 조금 늦어질수도 있으나 아주 오래 늦어질거 같진 않음. 1종목당 1천만원. 아무것도 모르면서 혼자 힘들어하지 말고 아무거나 질문하세요. (하단에 링크된 영상의 7:15~7:43에서 여성분도 불가능하다고 하지 않고 힘들다고 말하듯, 아주 불가능한 영역은 아닌 것으로 가능한 사람이 있습니다. 감각으로 분석이 가능해 이것이 곧 천재적인 능력이 되는 나같은 사람만) 

말한대로 단타를 시작한지 얼마 안되었고 수익낸지 얼마 안되었으나 어떤 종목으로 수익내었는지 증권사 앱에 기록되어 있으니 보여줄 수 있음. 

국민연금이나 금융위원회 등 나라에서 돈 빌려주면 나라를 부강하게 만들어 줄 수 있음. 허튼소리가 아니라 모든 산전수전지옥전까지 하고 살아나와 자신있게 감히 

https://youtu.be/BDTfGFGcKpU?si=Bo_f68D0ziZPbaHZ",중립,기타,에러: APIStatusError
국민연금은 잘하는데 국민건강공단은 국민들의 골수까지 파먹는 바퀴벌레같은 존재다,중립,기타,에러: APIStatusError
국민연금  수고 많으셨습니다,중립,기타,에러: APIStatusError
구독완료,중립,기타,에러: APIStatusError
"국민연금 외화자산 팔아 넣어 거품주가로 많아 보이는 것
무한정 팔아 넣을수 없고 거품꺼지면 국민연금 잔고 박살
국민연금은 곧 팔아서 연금지급할 때가 오는데 그때는 주가도 폭락하고 국민연금 환산평가총액도 폭락하게 됨
시한폭탄이 설정된것임",중립,기타,에러: APIStatusError
"팔아야 내돈이지 멍충아~~
팔기 시작 하면 폭락~~",중립,기타,에러: APIStatusError
"웃기고 자빠졌네
벌었으면 현금으로 바꿔야 돈이지 개자식아 
주가부양에 들어부었는데 빼도박도 못하는 돈 아무 가치없다. 값어치 없어지면 국내주식 과잉 투자는 도로아미타불이다.",중립,기타,에러: APIStatusError
